iter	RMSE
349	1773.731163
350	1773.373336
351	1773.097687
352	1772.820033
353	1772.554444
354	1772.172104
355	1771.88125
356	1771.422589
357	1771.150668
358	1771.020754
359	1770.600792
360	1770.325123
361	1769.971763
362	1769.758723
363	1769.405976
364	1769.04665
365	1768.689547
366	1768.364093
367	1768.086178
368	1768.019976
369	1767.690508
370	1767.518877
371	1767.159765
372	1767.091154
373	1766.76586
374	1766.698606
375	1766.561564
376	1766.337556
377	1766.020545
378	1765.715826
379	1765.552771
380	1765.328051
381	1765.095983
382	1764.800748
383	1764.478053
384	1764.186964
385	1764.024883
386	1763.739595
387	1763.467552
388	1763.345754
389	1763.097904
390	1762.798508
391	1762.645423
392	1762.445731
393	1762.392367
394	1762.158859
395	1761.940646
396	1761.803499
397	1761.730322
398	1761.504651
399	1761.265721
400	1760.863181
401	1760.620814
402	1760.432803
403	1760.12732
404	1760.002292
405	1759.953065
406	1759.818867
407	1759.704106
408	1759.580202
409	1759.4517
410	1759.27599
411	1759.195288
412	1758.955568
413	1758.773887
414	1758.371869
415	1758.115726
416	1757.692345
417	1757.478954
418	1757.049026
419	1756.884102
420	1756.566923
421	1756.293556
422	1756.041092
423	1755.757511
424	1755.428639
425	1755.300159
426	1755.086864
427	1754.762548
428	1754.274718
429	1753.829483
430	1753.557694
431	1753.340077
432	1753.256925
433	1752.987976
434	1752.503697
435	1752.448732
436	1752.236627
437	1752.009487
438	1751.738943
439	1751.538227
440	1751.377862
441	1751.049338
442	1750.724629
443	1750.428562
444	1750.421241
445	1750.293245
446	1750.186585
447	1750.018445
448	1749.827782
449	1749.775
450	1749.436086
451	1749.240252
452	1749.040785
453	1748.790047
454	1748.634492
455	1748.25993
456	1748.095166
457	1747.783766
458	1747.508144
459	1747.304256
460	1747.070185
461	1746.924956
462	1746.709849
463	1746.477865
464	1746.343048
465	1746.307536
466	1746.078871
467	1745.898946
468	1745.676917
469	1745.461541
470	1745.298285
471	1745.133337
472	1744.755425
473	1744.660796
474	1744.504703
475	1744.107525
476	1743.950464
477	1743.713888
478	1743.514744
479	1743.310933
480	1743.101053
481	1742.863936
482	1742.682727
483	1742.480935
484	1742.283937
485	1742.081733
486	1741.930318
487	1741.76778
488	1741.630063
489	1741.484514
490	1741.334356
491	1741.290585
492	1741.186181
493	1741.138088
494	1740.918498
495	1740.900758
496	1740.717669
497	1740.496482
498	1740.19389
499	1740.050967
